,text,source
0,"Начальник Главного оперативного управления Генерального штаба Вооруженных Сил РФ генерал-полковник Сергей Рудской провел брифинг для СМИ по ситуации в Сирии <br> <br>С начала этого года сирийскими правительственными войсками при поддержке ВКС России достигнуты значительные успехи по освобождению ключевых районов Сирии от остатков террористических группировок. Это восточная часть провинции Идлиб, пригороды Дамаска, Восточная Гута, Восточный Каламун, Ярмук, северные районы провинции Хомс, которые в настоящее время находятся полностью под контролем правительственных войск. <br> <br>В январе-феврале в восточной части провинции Идлиб была окружена и уничтожена крупная группировка «Джабхат ан-Нусра» численностью более 1500 боевиков, а также разрозненные бандгруппы игиловцев. <br> <br>В результате под контроль правительственных войск перешла территория от Кафер-Аккара до Саббура – с севера на юг – и от Синджара до Эль-Хаммам – с запада на восток площадью более четырех тысяч 300 квадратных километров. <br> <br>В настоящее время возобновлено движение по дороге, соединяющей Хаму и Алеппо. В освобожденных районах интенсивно налаживается мирная жизнь, что способствует возвращению беженцев. Так, через гуманитарный коридор в районе населенных пунктов Абу-Духур и Тель-Султан из западной части провинции Идлиб в провинцию Алеппо вернулось 9 тысяч 573 мирных жителя. <br>Постепенно нормализуется ситуация в зоне деэскалации «Идлиб». <br> <br>Завершено выставление наблюдательных постов вдоль линии разграничения, на которых несут службу военнослужащие стран-гарантов астанинских соглашений – Ирана, России и Турции. <br>Всего российской стороной выставлено 10 постов, Турцией – 12, Ираном – 7. Они обеспечивают контроль соблюдения режима прекращения боевых действий правительственными войсками и вооруженной оппозицией. <br> <br>Между постами установлена устойчивая связь. Организован постоянный обмен информацией об обстановке и нарушениях режима прекращения боевых действий, принимаются меры по их пресечению и урегулированию конфликтных ситуаций. <br> <br>Завершена операция правительственных войск по освобождению всех пригородов Дамаска. <br> <br>В ходе нее под руководством российского Центра по примирению враждующих сторон была проведена беспрецедентная по своему масштабу гуманитарная операция в Восточной Гуте, Восточном Каламуне и Ярмуке. <br> <br>Во избежание напрасных потерь и жертв среди мирного населения по специально созданным гуманитарным коридорам из пригородов Дамаска выведено 188 тысяч 234 человека, среди которых 28 тысяч 725 боевиков. По их желанию они были выведены в северные районы страны. Большая часть мирных граждан уже вернулась в свои дома. <br>Последним оплотом террористов в сирийской столице являлся бывший лагерь палестинских беженцев Ярмук, который был превращен в убежище для игиловцев, разгромленных ранее сирийской армией в различных районах Сирии. <br> <br>На сегодняшний день вооруженные формирования ИГИЛ, действовавшие в западной части Ярмука, полностью уничтожены, территория перешла под контроль правительственных войск. <br> <br>Кроме того, благодаря работе, проведенной российским Центром по примирению враждующих сторон, члены отрядов вооруженной оппозиции из восточной части Ярмука смогли по своему желанию либо воспользоваться действующей амнистией и вернуться к мирной жизни, либо выехать с семьями в провинцию Идлиб. <br> <br>Всего из Ярмука было вывезено 3 тысячи 283 боевика. <br> <br>В результате проведенной операции впервые за шесть лет жители сирийской столицы почувствовали себя в безопасности. Прекратились ежедневные обстрелы жилых кварталов города, террористические акты и похищения людей. Свободу получили заложники, удерживаемые боевиками. <br>В районах, ранее контролируемых бандформированиями, на порядок снизились цены на продукты питания и медикаменты. Люди получили доступ к медицинскому обслуживанию. <br>Сегодня обстановка в освобожденных районах полностью нормализовалась и способствует налаживанию мирной жизни. <br> <br>По аналогичному сценарию проведена гуманитарная операция в зоне деэскалации «Хомс». В ходе переговоров с лидерами вооруженных формирований, шейхами племен и представителями религиозных общин <br>была достигнута договоренность о переходе населенных пунктов в зоне деэскалации к мирной жизни и разблокировании движения по автомобильной дороге Хомс – Хама. <br> <br>Члены отрядов вооруженной оппозиции получили возможность воспользоваться амнистией и остаться в своих населенных пунктах. Боевикам, не пожелавшим перейти под юрисдикцию правительства Сирии, был обеспечен выезд в провинцию Идлиб и на север провинции Алеппо в город Джераблус. <br> <br>С 7 мая из городов Эр-Растан, Аль-Кантара-Шимали, Телль-Биса и других населенных пунктов вывезено 13 тысяч 407 участников незаконных вооруженных формирований. <br> <br>Вооруженными формированиями сдано правительственным войскам 7 танков, 5 БМП, 7 пикапов с крупнокалиберными пулеметами, 122 орудия и миномета, 20 реактивных систем залпового огня, 9 комплексов ПТУР, 45 ручных противотанковых гранатометов, 14 средств ПВО, 12 самодельных пусковых установок «Адский огонь», а также 56 крупнокалиберных пулеметов. <br> <br>Особо отмечу, что освобождение зоны деэскалации «Хомс» от боевиков достигнуто мирным путем, боевые действия не велись, что позволило полностью исключить жертвы среди мирных жителей и членов отрядов оппозиции. <br> <br>Данные вопросы, а также текущая ситуация в Сирии обсуждались представителями России, Турции и Ирана, и на девятой Международной встрече, которая завершилась 15 мая в Астане. <br> <br>Представители стран-гарантов подвели итоги развития ситуации «на земле» за год, с момента подписания Меморандума о создании зон деэскалации в Сирийской Арабской Республике от 4 мая 2017 г. Подчеркнули ключевую роль, которую играют зоны деэскалации в поддержании режима прекращения боевых действий, снижении уровня насилия и в целом стабилизации обстановки в Сирии. <br> <br>Участники конференции приветствовали проведение представителями трех стран-гарантов второго заседания Рабочей группы по освобождению задержанных и заложников, передаче тел погибших и поиску пропавших без вести при участии экспертов ООН и МККК. Была подтверждена необходимость продолжения совместных усилий с целью укрепления доверия между конфликтующими сторонами в Сирии. <br> <br>Стороны договорились приложить дополнительные усилия по направлению в Сирию помощи населению, содействию гуманитарному разминированию, сохранению исторического наследия, восстановлению объектов социальной и экономической инфраструктуры. <br> <br>Российский Центр по примирению враждующих сторон продолжает работу по оказанию гуманитарной помощи населению Сирии. <br> <br>Более подробно о ходе восстановления объектов инфраструктуры в районах, освобожденных от вооруженных формирований, и возвращении беженцев расскажет начальник Центра по примирению враждующих сторон генерал-майор Юрий Евтушенко, находящийся на видеоконференцсвязи. <br> <br>Юрий Евтушенко отметил, что после освобождения Восточной Гуты от боевиков, основные усилия Центра по примирению враждующих сторон сосредоточены на постконфликтном урегулировании и создании условий для возращения людей к мирной жизни. <br> <br>Для расчистки завалов, уборки улиц, восстановления объектов жилищно-коммунального хозяйства в населенные пункты Дума, Кафер-Батна, Дахийят-Аль-Асад и Арбил доставлена российская специальная техника, пиломатериалы, силовые и оптоволоконные кабели, водопроводные трубы и другие строительные материалы. Это позволило ремонтным бригадам оперативно приступить к восстановлению объектов инфраструктуры в Восточной Гуте. <br> <br>Представители Центра по примирению постоянно проводят мониторинг гуманитарной обстановки, координируя с органами государственной власти Сирийской Арабской Республики и местного управления вопросы восстановления социально значимых объектов, имеющих первоочередное значение. Речь идет о школах, больницах, хлебопекарнях, объектах электро- и водоснабжения. <br> <br>Инженерно-саперными подразделениями сирийской армии не прекращается работа по разминированию жилых строений, вывозу боеприпасов и мин. <br> <br>На сегодняшний день в населенных пунктах Восточной Гуты разминировано 453 здания и сооружения, 32 километра дорог. <br> <br>Обнаружено и обезврежено 956 взрывоопасных предметов. <br> <br>Расчищено от завалов более 25 квадратных километров площади населенных пунктов. <br>Благодаря улучшению гуманитарной ситуации из лагерей беженцев и временно перемещенных лиц в свои дома уже вернулось 66 тысяч 257 жителей Восточной Гуты. <br> <br>Для исключения провокаций и обеспечения безопасности местных жителей подразделениями российской военной полиции в Восточной Гуте, Восточном Каламуне, Ярмуке, Эр-Растане и Телль-Бисе ежедневно выставляются наблюдательные посты, ведется патрулирование. <br> <br>Российской стороной предпринимаются усилия по улучшению гуманитарной ситуации и в других районах Сирии. <br> <br>Только за текущий месяц Центром по примирению проведена 41 гуманитарная акция, в ходе чего населению передано более 95 тонн продовольствия, бутилированной воды и предметов первой необходимости. <br> <br>Российскими военными врачами оказана медицинская помощь более 1000 мирных жителей. <br>Сирийские власти совместно с российским Центром по примирению продолжают работу по созданию условий для возвращения граждан в места прежнего проживания. <br> <br>С 1 ноября 2017 года в свои дома в провинции Хомс вернулось 13 тысяч 763 человека, в провинции Дейр-эз-Зор на восточный берег реки Евфрат – 46 тысяч 792 человека. <br> <br>В населенные пункты Восточного Каламуна с 25 апреля 2018 года возвратилось более 7 тысяч человек. <br> <br>В свою очередь генерал-полковник Сергей Рудской заявил, что несмотря на активную работу российского Центра по примирению враждующих сторон, для полного восстановления районов, пострадавших в ходе боевых действий против террористических группировок в Сирии, и экономики страны в целом, требуется помощь всего международного сообщества. Мы призываем ООН и другие международные организации подключаться к данному процессу. <br> <br>О шагах, предпринимаемых российской стороной на данном направлении, выступит представитель Минобороны России в Женеве полковник Юрий Тарасов. <br> <br>Представитель Минобороны России в Женеве полковник Юрий Тарасов подчеркнул, что успешные мероприятия по замирению бывших зон деэскалации в Восточной Гуте, провинциях Хама и Хомс привели к освобождению данных районов от экстремистов и их полному разблокированию. Это дает возможность оказания масштабной гуманитарной помощи населению, которое долгое время находилось в изоляции и использовалось террористами в качестве «живого щита». <br><br>Российские представители в целевых группах оперативно информируют офис специального посланника Генерального секретаря ООН по Сирии о ситуации в освобожденных районах в целях скорейшего подключения гуманитарных агентств к восстановлению мирной жизни и решению насущных проблем населения, возвращающегося в свои дома.<br> <br>Как только были решены проблемы обеспечения безопасности в Восточной Гуте, связанные с разминированием и расчисткой дорог, сирийское правительство по согласованию с российской стороной дало разрешение на вход туда оценочных миссий ООН. Так, 12 мая ооновские специалисты Организации посетили районы Кафер-Батна и Сакба. В ближайшее время планируется направление миссии в город Дума. По линии Гуманитарной целевой группы обсуждается план проведения подобной работы в провинции Хомс. <br><br>В контактах с ооновцами российские представители стараются ускорить переход международных организаций от этапа оценки ситуации к практическим шагам по оказанию помощи. <br><br>В ходе еженедельных заседаний проводим работу, направленную на развитие интереса стран-членов Международной группы поддержки Сирии к оказанию содействия населению освобожденных районов. <br> <br>В настоящее время нами прорабатывается вопрос подключения международных организаций к гуманитарному разминированию на территории страны. Открытие в Дамаске офиса Службы ООН по разминированию находится на завершающем этапе согласования. <br> <br>Российские представители в Целевых группах по прекращению огня и Гуманитарной помощи находятся в круглосуточной готовности к взаимодействию с международными агентствами, в том числе по вопросам деконфликтации прохождения конвоев и оценочных миссий. Кроме того, мы регулярно предоставляем структурам ООН информацию по приоритетным направлениям оказания гуманитарной помощи в стране, что способствует направлению ее в наиболее нуждающиеся районы. <br> <br>Надеемся, что ООН и другие международные <br>организации не на словах, а на деле подтвердят свою заинтересованность в скорейшем восстановлении территорий Сирии, наиболее пострадавших от террористов, и возвращении их к мирной жизни. <br>В заключение генерал-полковник Сергей Рудской отметил, что в настоящее время созданы все условия для возрождения Сирии как единого, неделимого государства. Но для достижения этой цели необходимо приложить усилия не только России, но и другим членам мирового сообщества. <br> <br>Генеральный штаб Вооруженных Сил Российской Федерации внимательно отслеживает развитие ситуации на территории Сирии. Мы продолжим информировать вас о ее изменениях. <br> <br>#Минобороны #Брифинг #Рудской #Сирия",mil
1,"Артиллерийские подразделения общевойскового объединения ЮВО в Ставропольском крае и на Кубани в зимнем периоде обучения были задействованы в 25 тактических учениях и выполнили более 500 огневых задач<br><br>На учебные мероприятия на полигоне Николо-Александровский и Молькино привлекались боевые расчеты самоходных артиллерийских гаубиц «Мста-С», «Акация» и «Гвоздика», РСЗО «Град», противотанковых ракетных комплексы ПТРК «Штурм-С», минометов «Сани» и «Поднос».<br><br>Основным экзаменом для артиллеристов стал лагерный сбор, в ходе которого особое внимание уделялось освоению новых форм и способов выполнения огневых задач во взаимодействии с мотострелковыми подразделениями в условиях горной местности.<br><br>#Минобороны #ЮВО #Артиллерия #БоеваяПодготовка",mil
2,"Подразделения морской пехоты Каспийской флотилии осваивают новые бронетранспортёры БТР-82А, поступившие на вооружение в середине мая<br><br>Механики-водители производят обкатку бронетранспортеров перед началом летнего периода обучения, а наводчики-операторы выполняют калибровочные стрельбы из штатного вооружения машин.<br><br>Очередная партия более чем из 30 бронетранспортёров прибудет к морпехам в начале июня.<br><br>#Минобороны #ЮВО #МорскаяПехота #КаспийскаяФлотилия #БТР82А #БоеваяПодготовка",mil
3,"Команды на всеармейских этапах конкурсов АрМИ-2018 «Танковый биатлон» и «Суворовский натиск» в Амурской области не только показывают свои умения управлять военной техникой, но и состязаются в выполнении спортивных нормативов<br><br>На полигоне Дальневосточного высшего общевойскового командного училища участники выявили лучших по показателям физической силы, ловкости и выносливости. Команды мотострелковых подразделений совершили марш-броски на 5 км, преодолели специальную полосу препятствий, выполнили стрельбу из стрелкового оружия с места и в движении.<br><br>Танковые экипажи соревновались в прохождении армейской полосы препятствий. Время и результаты стрельбы шли в общий зачет команд.<br><br>Всего в Приамурье борьбу ведут шесть команд мотострелковых подразделений и семь команд танкистов от военных округов и профильных училищ Минобороны России. Конкурсы продлятся до 25 мая. Экипажам команд-победителей выпадет честь представлять Вооруженные Силы страны на международных играх.<br><br>#Минобороны #ВВО #ДВОКУ #АрМИ2018 #ТанковыйБиатлон #СуворовскийНатиск #БоеваяПодготовка #Спорт",mil
4,"На большом учебно-методическом командирском сборе, стартовавшем на нескольких полигонах Западной Сибири, впервые в учебных целях будет оборудован «сирийский вал» — прием, примененный и отработанный во время военной операции в Сирии<br><br>Офицерскому составу продемонстрируют новую методику по блокированию населенного пункта, захваченного условным противником. Бойцы-мотострелки также отработают действия по борьбе с джихад-мобилями, покажут работу снайперских пар. Кроме того, на сборах пройдет практическое занятие по погрузке военной техники на железнодорожные платформы.<br><br>Учебно-методические сборы в Сибири продлятся до конца недели.<br><br>#Минобороны #ЦВО #Сирия #ВоенныеСборы #Антитеррор #БоеваяПодготовка",mil
5,"Моряки отряда кораблей Тихоокеанского флота в составе больших противолодочных кораблей «Адмирал Трибуц», «Адмирал Виноградов» и среднего морского танкера «Печенга» и ВМС Камбоджи провели совместное учение подразделений антитеррора в районе военно-морской базы Реам (Камбоджа)<br><br>В ходе учения антипиратской направленности военнослужащие двух стран отработали проведение стандартных процедур по опросу подозрительного судна, действия при проведения досмотровой операции и отражении атаки малоразмерной скоростной цели. При решении задач осуществлялось взаимодействие групп АТД с корабельными расчетами противодействия диверсионным силам.<br>#МинобороныРоссии #ТОФ #ВМФ #МеждународнаяДеятельность #Камбоджа",mil
6,"Военнослужащие–женщины на бронеавтомобилях продемонстрируют автошоу на открытии всеармейского этапа конкурса АрМИ «Мастера автобронетанковой техники-2018», который состоится 26 и 27 мая в городе Острогожске в Воронежской области <br><br>В этом году в конкурсе принимают участие 13 команд военных автомобилистов и специалистов автобронетанковой службы военных округов и флотов, РВСН, ВДВ и ВВС, а также Центра контраварийной подготовки ВС РФ, Острогожского учебного центра по подготовке младших специалистов автобронетанковой службы и 147-й автомобильной базы Минобороны России. <br><br>В преддверии Дня военного автомобилиста для гостей и жителей города приготовлена программа выступления водителей бронеавтомобилей «Тигр», КамАЗ-5350 и УАЗ–3151. <br><br>Ссылка на сайт Армейских международных игр-2018: http://armygames2018.mil.ru/ <br><br>#Минобороны #АрМИ2018 #МастераАвтобронетанковойТехники",mil
7,"На одном из старейших аэродромов Европы Девау в Калининградской области проведён масштабный авиационный фестиваль<br><br>В течение дня фестиваль посетило более 7 тысяч жителей Калининградской области.<br><br>Проведение подобных мероприятий было организовано впервые с 2012 года и планируется стать ежегодным.<br><br>В воздушной части фестиваля приняли участие самолеты ДОСААФ: Ан-2, Икарус, Сесна, парапланы, планёры, авиамодели.<br><br>На статической выставке для зрителей были представлены вооружение и военная техника Балтийского флота, включая зенитный ракетный комплекс С-400, зенитный ракетно-пушечный комплекс «Панцирь-С», бронированная, автомобильная и специальная техника, роботы, миноискатели, гранатометы, стрелковое оружие.<br><br>В настоящий момент на аэродроме Девау в Калининградской области подразделениями ДОСААФ России проведена реконструкция аэродрома, самолётов Ан-2 и сформирована парашютная команда для проведения десантной подготовки допризывной молодежи.<br><br>В следующем году аэродром Девау ответит вековой юбилей.<br><br>#МинобороныРоссии #ДОСААФ #Калининград #Аэродром #Реконструкция",mil
8,"В Баренцевом море началось учение разнородных сил Северного флота с участием слушателей Военной академии Генерального штаба ВС РФ<br><br>В ходе него слушателям ВАГШ демонстрируется организация управления силами в море, основные элементы противоминного обеспечения, противолодочной и противовоздушной обороны, применяемые при развертывании ударных сил в море.<br><br>Четыре основных эпизода учения включают обеспечение соединением охраны водного района развертывания ударных сил, поиск и атаку подводной лодки корабельной поисково-ударной группой во взаимодействии с противолодочной авиацией, организацию противовоздушной обороны сил флота в море с отражением ударов средств воздушного нападения противника и спасения личного состава, терпящего бедствие в море.<br><br>В морской тренировке задействованы базовые тральщики «Котельнич» и «Коломна», ракетный крейсер «Маршал Устинов», эскадренный миноносец «Адмирал Ушаков», малые противолодочные корабли «Юнга» и «Снежногорск», спасательный буксирное судно СБ-100, водолазный катер «Иван Швец», а также самолеты и вертолеты морской авиации флота.<br><br>#Минобороны #СеверныйФлот #ВАГШ #БоеваяПодготовка #ВоенноеОбразование",mil
9,"Экипажи самолётов морской авиации Черноморского флота выполнили поиск и уничтожение отряда боевых кораблей условного противника<br><br>Экипажи самолётов Су-24МР произвели разведку и обнаружили в море отряд кораблей условного противника, который имитировали малые ракетные и противолодочные корабли, после чего два многофункциональных истребителя Су-30СМ нанесли авиационный удар неуправляемыми ракетами и выполнили условное бомбометание по условным целям.<br><br>Помимо этого, летчики тренировали аэронавигацию, пилотирование по заданному маршруту, а также действия по уходу от корабельных и наземных средств противовоздушной обороны условного противника.<br><br>#Минобороны #ЧФ #Су30СМ #Су24МР",mil
