dt,MW
2011-01-01 00:00:00,3416.0
2011-01-01 00:15:00,4755.0
2011-01-01 00:30:00,4939.0
2011-01-01 00:45:00,4939.0
2011-01-01 01:00:00,4998.0
2011-01-01 01:15:00,5184.0
2011-01-01 01:30:00,5341.0
2011-01-01 01:45:00,5438.0
2011-01-01 02:00:00,5509.0
2011-01-01 02:15:00,5638.0
2011-01-01 02:30:00,5582.0
2011-01-01 02:45:00,5792.0
2011-01-01 03:00:00,5962.0
2011-01-01 03:15:00,6009.0
2011-01-01 03:30:00,6025.0
2011-01-01 03:45:00,6075.0
2011-01-01 04:00:00,6231.0
2011-01-01 04:15:00,6399.0
2011-01-01 04:30:00,6346.0
2011-01-01 04:45:00,6452.0
2011-01-01 05:00:00,6449.0
2011-01-01 05:15:00,6478.0
2011-01-01 05:30:00,6438.0
2011-01-01 05:45:00,6456.0
2011-01-01 06:00:00,6481.0
2011-01-01 06:15:00,6447.0
2011-01-01 06:30:00,6276.0
2011-01-01 06:45:00,6362.0
2011-01-01 07:00:00,6447.0
2011-01-01 07:15:00,6517.0
2011-01-01 07:30:00,6483.0
2011-01-01 07:45:00,6615.0
2011-01-01 08:00:00,6694.0
2011-01-01 08:15:00,6719.0
2011-01-01 08:30:00,6790.0
2011-01-01 08:45:00,6739.0
2011-01-01 09:00:00,6659.0
2011-01-01 09:15:00,6739.0
2011-01-01 09:30:00,6774.0
2011-01-01 09:45:00,6743.0
2011-01-01 10:00:00,6805.0
2011-01-01 10:15:00,6782.0
2011-01-01 10:30:00,6640.0
2011-01-01 10:45:00,6649.0
2011-01-01 11:00:00,6697.0
2011-01-01 11:15:00,6600.0
2011-01-01 11:30:00,6584.0
2011-01-01 11:45:00,6351.0
2011-01-01 12:00:00,6288.0
2011-01-01 12:15:00,6204.0
2011-01-01 12:30:00,6243.0
2011-01-01 12:45:00,6199.0
2011-01-01 13:00:00,6226.0
2011-01-01 13:15:00,6189.0
2011-01-01 13:30:00,6215.0
2011-01-01 13:45:00,6219.0
2011-01-01 14:00:00,6023.0
2011-01-01 14:15:00,5966.0
2011-01-01 14:30:00,5738.0
2011-01-01 14:45:00,5469.0
2011-01-01 15:00:00,5406.0
2011-01-01 15:15:00,5343.0
2011-01-01 15:30:00,5178.0
2011-01-01 15:45:00,5009.0
2011-01-01 16:00:00,4936.0
2011-01-01 16:15:00,4825.0
2011-01-01 16:30:00,4706.0
2011-01-01 16:45:00,4586.0
2011-01-01 17:00:00,4485.0
